sampleid score
S-861679 -1.4036384066127776
S-730677 0.7895670879924959
S-404107 0.44622143186092844
S-395845 -1.1065736553002274
S-226054 1.2746488743882929
S-482553 1.9328217207416938
S-445166 -0.19525829447974236
S-967187 0.103235958378601
S-971805 -0.09208666566408405
S-561373 -0.7166087754925683
S-349731 0.14256501114752926
S-422087 -1.5475059725805889
S-299607 -1.4194092674127612
S-248451 2.36878379905202
S-936217 -0.6448523186235996
S-379105 -0.5518141139614005
S-601114 1.3859678827980921
S-337359 -2.702512471333975
S-853794 -1.5890781837079562
S-525000 0.2989617029683549
S-316903 -1.2108600727272907
S-788385 0.566412878272891
S-411374 0.12059633896507754
S-483280 -1.3209647127953672
S-430423 2.1891459848228823
S-231973 -2.4017201092603777
S-146300 -0.3276059014192276
S-661287 -0.3425567052699876
S-748336 0.6318197379132207
S-471490 0.3903382365930872
S-655215 -1.481216147289925
S-266741 -0.07669277989325246
S-683177 -0.6037927879561445
S-513589 -1.7778567303574304
S-617484 -0.7180747823953662
S-683298 0.23195716491275406
S-239697 1.7542395409221552
S-395671 3.1910447975779443
S-691574 1.5760030013359638
S-476315 -0.9402321138086888
S-333640 -1.8438805647880674
S-907775 1.5404889224199763
S-239589 -1.6490950388719097
S-761963 -1.6872139299045794
S-566735 -1.9721232102657051
S-880736 -1.8062789033739204
S-314902 -1.3968444261501605
S-873138 -1.1575146582734372
S-684317 0.6877737416566767
S-315184 -1.1932814240105578
S-460661 0.6639387836278691
S-710693 1.2958130236866205
S-403700 0.5551197532838135
S-130657 0.31842740565631455
S-991141 -0.7089017276078534
S-746785 0.9084751196368631
S-426607 -0.08039540368972983
S-786907 0.06319950381441683
S-337730 0.3223257631843655
S-726915 0.9633522718667802
S-399945 -1.0531404271546316
S-442661 0.3867638674399294
S-680010 0.10839743743868649
S-295832 3.3784368384451153
S-493133 1.6359807212259323
S-595132 0.03670522379628899
S-137740 1.1630674086092734
S-639023 0.3138357505856628
S-207301 0.027841353115747647
S-563517 0.004058377862363488
S-776677 1.373548229833732
S-990258 1.0188472684155474
S-521198 0.7245731781670263
S-411893 -0.43570315395985315
S-988726 -1.842977098349316
S-840754 0.5150035051585955
S-253670 -1.5301214618871635
S-629274 -0.2224032530865465
S-796807 1.6872408919007853
S-551099 1.4010820410892368
S-219396 0.7227617633374099
S-666178 -1.4921235363068153
S-593378 0.697092132356795
S-934424 -0.12962531393905616
S-323095 -1.721492378965542
S-361202 -1.148401469105392
S-708198 0.3506341551775479
S-685378 -0.26372820471224995
S-211460 0.18817035552385636
S-954025 -0.7202782771305529
S-449624 -0.31785977052353737
S-132738 1.1472020331704889
S-646383 -0.5683024326080546
S-656691 0.47147299404921494
S-858052 0.6311113140932504
S-152930 -1.4791242013246713
S-382277 0.2177519798433772
S-230397 -0.44962651452531777
S-247089 1.0501414022907616
S-538378 -1.4361601590874304
S-465318 -0.04981647900639497
S-610979 1.39394834176561
S-794460 0.06959705677158598
S-792262 0.43008837193474025
S-690039 1.0419593720385052
S-691761 -0.7281761607367743
S-772951 0.08490788791274627
S-106599 0.03747488307139457
S-559797 1.0990367273613406
S-738820 0.883554717781431
S-346347 0.4887825994457862
S-329792 0.029040169267871396
S-922133 -0.6791634565660625
S-450266 0.47855182904183313
S-259203 0.6371050086334809
S-348010 1.0769508534478671
S-249916 -0.01017693495209121
S-153789 1.8775485691732834
S-836828 0.6658169007379212
S-280745 -0.2572113523640186
S-369708 -1.213711564634497
S-391244 -0.6111581087390473
S-719477 -0.9046724747457432
S-951418 0.9003576464659149
S-609137 -1.1044120324797475
S-537918 0.27021174766799094
S-192247 1.168594709338093
S-440568 -1.0876167502632437
S-482372 0.5981162970406909
S-811839 0.7478798857621911
S-962011 0.5465610149801465
S-844959 0.28163020776128334
S-636499 -0.5174640719131708
S-356928 -1.9145359948723226
S-157823 0.4127010346157127
S-977268 0.970353574636785
S-691649 1.4991837680568272
S-782264 1.3837084732118643
S-183371 0.7930344922534994
S-382488 0.6989959916743451
S-168484 -1.1091932532328443
S-358468 -0.06610936028712458
S-229610 0.6982028593264746
S-574059 2.282435680530665
S-606244 0.586394449060346
S-322501 -0.13123326330139848
S-368750 -0.268399973910685
S-506715 -1.681493495444483
S-893499 -1.232961502475846
S-173082 -1.446726873260248
S-702490 -0.7076470705529362
S-358673 -0.49035334977027756
S-345097 -1.7270056883405855
S-357109 -1.0214936144835582
S-724983 1.1987890221193915
S-255084 1.1283365169992958
S-979272 -1.5251032758572642
S-505582 -1.1607083057029866
S-958042 0.3046132565649702
S-258329 0.3364496970893714
